city_income
"Winnetka – $98,139"
"Kenilworth – $97,381"
"Glencoe – $94,900"
"Inverness – $91,623"
"Barrington Hills – $91,555"
"Lake Forest – $86,004"
"Oak Brook – $81,213"
"Chicago, Illinois – $20,175"
"Foosland, Illinois – $20,173"
"Lyons, Illinois – $20,172"
"Midlothian, Illinois – $20,150"
"Media, Illinois – $20,149"
"East Peoria, Illinois – $20,147"
"Oreana, Illinois – $20,133"
"Walnut, Illinois – $20,126"
"Geneseo, Illinois – $20,115"
"Goodfield, Illinois – $20,099"
"Ashland, Illinois – $20,090"
"Cedarville, Illinois – $20,076"
"Granville, Illinois – $20,074"
"Bensenville, Illinois – $20,040"
"Blue Mound, Illinois – $20,039"
"St. Libory, Illinois – $20,024"
"University Park, Illinois – $20,017"
"Kinsman, Illinois – $20,011"
"Cleveland, Illinois – $19,990"
"Red Bud, Illinois – $19,967"
"Hanover Park, Illinois – $19,960"
"Elkhart, Illinois – $19,958"
"Farmer City, Illinois – $19,946"
"Lake of the Woods, Illinois – $19,938"
"Broadwell, Illinois – $19,911"
"Hazel Crest, Illinois – $19,908"
"Hoffman, Illinois – $19,897"
"Tolono, Illinois – $19,894"
"Wenonah, Illinois – $19,890"
"Fithian, Illinois – $19,856"
"Freeburg, Illinois – $19,851"
"Marshall, Illinois – $19,851"
"Neponset, Illinois – $19,846"
"Fulton, Illinois – $19,845"
"Buckingham, Illinois – $19,816"
"Steger, Illinois – $19,816"
"Windsor, Illinois (Mercer County) – $19,811"
"Elmwood, Illinois – $19,797"
"Rockford, Illinois – $19,781"
"Rosemont, Illinois – $19,781"
"Galena, Illinois – $19,773"
"Flanagan, Illinois – $19,767"
"Gridley, Illinois – $19,752"
"Arenzville, Illinois – $19,730"
"Lee, Illinois – $19,709"
"Smithton, Illinois – $19,695"
"Dawson, Illinois – $19,686"
"Machesney Park, Illinois – $19,685"
"Arthur, Illinois – $19,683"
"Ogden, Illinois – $19,679"
"Buffalo, Illinois – $19,637"
"Pekin, Illinois – $19,616"
"Warren, Illinois – $19,611"
"Danvers, Illinois – $19,598"
"Lerna, Illinois – $19,596"
"Prophetstown, Illinois – $19,572"
"Chenoa, Illinois – $19,559"
"Sandwich, Illinois – $19,530"
"Belle Prairie City, Illinois – $19,528"
"Ludlow, Illinois – $19,507"
"Minier, Illinois – $19,478"
"Okawville, Illinois – $19,476"
"Illiopolis, Illinois – $19,473"
"Spring Valley, Illinois – $19,467"
"Leonore, Illinois – $19,465"
"Tuscola, Illinois – $19,465"
"Worth, Illinois – $19,449"
"Niantic, Illinois – $19,448"
"Sterling, Illinois – $19,432"
"Ottawa, Illinois – $19,426"
"Bellwood, Illinois – $19,420"
"Piper City, Illinois – $19,393"
"Meredosia, Illinois – $19,391"
"Joliet, Illinois – $19,390"
"Benson, Illinois – $19,358"
"New Salem, Illinois – $19,351"
"Farmington, Illinois – $19,336"
"Sauget, Illinois – $19,330"
"Cherry, Illinois – $19,313"
"Hammond, Illinois – $19,313"
"New Berlin, Illinois – $19,313"
"Chebanse, Illinois – $19,290"
"West Chicago, Illinois – $19,287"
"Mackinaw, Illinois – $19,279"
"Seneca, Illinois – $19,273"
"New Baden, Illinois – $19,268"
"Pearl City, Illinois – $19,256"
"New Holland, Illinois – $19,241"
"Genoa, Illinois – $19,239"
"Milledgeville, Illinois – $19,220"
"Greenwood, Illinois – $19,216"
"Durand, Illinois – $19,211"
"Rock Island, Illinois – $19,202"
"McLean, Illinois – $19,200"
"Catlin, Illinois – $19,164"
"Hometown, Illinois – $19,149"
"Fairbury, Illinois – $19,145"
"Princeville, Illinois – $19,137"
"Caledonia, Illinois – $19,134"
"Effingham, Illinois – $19,132"
"Gays, Illinois – $19,131"
"Steeleville, Illinois – $19,124"
"Berwyn, Illinois – $19,113"
"Somonauk, Illinois – $19,110"
"Stickney, Illinois – $19,109"
"La Salle, Illinois – $19,099"
"Coyne Center, Illinois – $19,093"
"Milford, Illinois – $19,078"
"South Wilmington, Illinois – $19,078"
"Marion, Illinois – $19,073"
"Hamel, Illinois – $19,062"
"Gillespie, Illinois – $19,042"
"Warrensburg, Illinois – $19,041"
"Bradley, Illinois – $19,035"
"Irwin, Illinois – $19,027"
"Oregon, Illinois – $19,019"
"Albers, Illinois – $19,017"
"Decatur, Illinois – $19,009"
"Campus, Illinois – $19,005"
"Gardner, Illinois – $18,995"
"Belleville, Illinois – $18,990"
"Cedar Point, Illinois – $18,988"
"Damiansville, Illinois – $18,985"
"Henning, Illinois – $18,974"
"Exeter, Illinois – $18,968"
"Sherrard, Illinois – $18,967"
"Creston, Illinois – $18,927"
"Gibson City, Illinois – $18,926"
"Burbank, Illinois – $18,923"
"Spring Bay, Illinois – $18,915"
"Mark, Illinois – $18,912"
"Carterville, Illinois – $18,884"
"Loda, Illinois – $18,877"
"Ohio, Illinois – $18,858"
"Kirkland, Illinois – $18,841"
"Waterman, Illinois – $18,836"
"Hebron, Illinois – $18,829"
"Ivesdale, Illinois – $18,829"
"Mount Auburn, Illinois – $18,829"
"Bridgeview, Illinois – $18,802"
"Homer, Illinois – $18,788"
"Lostant, Illinois – $18,782"
"Albany, Illinois – $18,780"
"Cortland, Illinois – $18,775"
"Erie, Illinois – $18,775"
"Hamilton, Illinois – $18,775"
"Carlyle, Illinois – $18,744"
"Rockdale, Illinois – $18,738"
"Woodhull, Illinois – $18,738"
"Delavan, Illinois – $18,734"
"Clinton, Illinois – $18,729"
"Petersburg, Illinois – $18,718"
"Pleasant Plains, Illinois – $18,714"
"Towanda, Illinois – $18,702"
"Bethalto, Illinois – $18,697"
"Harristown, Illinois – $18,689"
"Stanford, Illinois – $18,687"
"Essex, Illinois – $18,686"
"Preston Heights, Illinois – $18,681"
"Freeport, Illinois – $18,680"
"Fairview, Illinois – $18,677"
"Oglesby, Illinois – $18,674"
"Spillertown, Illinois – $18,674"
"Divernon, Illinois – $18,670"
"Arcola, Illinois – $18,664"
"Champaign, Illinois – $18,664"
"Cornell, Illinois – $18,655"
"Oakwood, Illinois – $18,655"
"Oakdale, Illinois – $18,651"
"Knoxville, Illinois – $18,643"
"Southern View, Illinois – $18,633"
"Ingalls Park, Illinois – $18,628"
"Paxton, Illinois – $18,617"
"Mount Pulaski, Illinois – $18,616"
"Lena, Illinois – $18,613"
"Eagarville, Illinois – $18,605"
"Polo, Illinois – $18,604"
"Davis, Illinois – $18,595"
"Park City, Illinois – $18,595"
"German Valley, Illinois – $18,564"
"Chesterfield, Illinois – $18,555"
"Kenney, Illinois – $18,553"
"De Witt, Illinois – $18,552"
"Sadorus, Illinois – $18,540"
"Odell, Illinois – $18,538"
"Bonfield, Illinois – $18,531"
"Herscher, Illinois – $18,522"
"Dupo, Illinois – $18,505"
"Aledo, Illinois – $18,498"
"East Hazel Crest, Illinois – $18,488"
"Worden, Illinois – $18,485"
"Henry, Illinois – $18,473"
"Dakota, Illinois – $18,440"
"Andover, Illinois – $18,439"
"Ellsworth, Illinois – $18,439"
"Hecker, Illinois – $18,423"
"Lakewood Shores, Illinois – $18,414"
"Mason City, Illinois – $18,411"
"Camargo, Illinois – $18,369"
"Auburn, Illinois – $18,368"
"South Beloit, Illinois – $18,363"
"Manito, Illinois – $18,345"
"Rome, Illinois – $18,345"
"Morrisonville, Illinois – $18,324"
"Lacon, Illinois – $18,309"
"Maroa, Illinois – $18,308"
"Grand Ridge, Illinois – $18,287"
"Cissna Park, Illinois – $18,285"
"Calumet Park, Illinois – $18,283"
"Round Lake Park, Illinois – $18,279"
"Warsaw, Illinois – $18,279"
"Carthage, Illinois – $18,269"
"Apple River, Illinois – $18,267"
"Fisher, Illinois – $18,262"
"East Moline, Illinois – $18,245"
"Edinburg, Illinois – $18,243"
"Raymond, Illinois – $18,231"
"Waverly, Illinois – $18,205"
"Elliott, Illinois – $18,203"
"Yale, Illinois – $18,199"
"Pierron, Illinois – $18,196"
"Moweaqua, Illinois – $18,195"
"Mattoon, Illinois – $18,186"
"Amboy, Illinois – $18,183"
"Greenup, Illinois – $18,179"
"South Chicago Heights, Illinois – $18,179"
"Taylorville, Illinois – $18,162"
"Argenta, Illinois – $18,154"
"Nauvoo, Illinois – $18,150"
"Thawville, Illinois – $18,149"
"Rochelle, Illinois – $18,139"
"Marine, Illinois – $18,133"
"Viola, Illinois – $18,127"
"Calumet City, Illinois – $18,123"
"Northlake, Illinois – $18,119"
"Round Lake Beach, Illinois – $18,113"
"San Jose, Illinois – $18,110"
"Browning, Illinois – $18,109"
"Dolton, Illinois – $18,102"
"Wood River, Illinois – $18,098"
"Barry, Illinois – $18,097"
"North Pekin, Illinois – $18,072"
"Venedy, Illinois – $18,061"
"Yates City, Illinois – $18,036"
"Macon, Illinois – $18,029"
"Atwood, Illinois – $18,028"
"Bement, Illinois – $17,995"
"Coulterville, Illinois – $17,994"
"Colfax, Illinois – $17,993"
